,epoch,accuracy,loss
0,1,52.55,147.31297850608826
1,2,64.53999999999999,108.73849737644196
2,3,62.38,91.14343881607056
3,4,64.36,81.88319724798203
4,5,69.35,75.97868466377258
5,6,65.82000000000001,70.49138259887695
6,7,73.77,66.25354915857315
7,8,72.43,63.35035997629166
8,9,65.36,60.28634989261627
9,10,70.19999999999999,57.359541326761246
10,11,75.69,55.782297253608704
11,12,76.85,53.50506144762039
12,13,75.42,51.82972601056099
13,14,78.06,51.44175139069557
14,15,83.28,42.814227879047394
15,16,83.94,40.08767631649971
16,17,83.91,38.916285276412964
17,18,83.86,38.18933257460594
18,19,83.77,37.58260741829872
19,20,84.41,37.17014688253403
20,21,84.43,36.751047402620316
21,22,83.78999999999999,36.219650000333786
22,23,84.41,35.91234555840492
23,24,84.71,34.391716212034225
24,25,84.86,34.387049823999405
25,26,84.89999999999999,34.05376377701759
26,27,84.92,33.6452097594738
27,28,84.86,34.189039289951324
28,29,84.85000000000001,33.98901870846748
29,30,85.06,33.68216410279274
