,epoch,accuracy,loss
0,1,64.44,108.00671672821045
1,2,66.08000000000001,90.18092131614685
2,3,55.63,79.92826437950134
3,4,70.41,72.29744446277618
4,5,73.33,66.39509963989258
5,6,76.44999999999999,62.876346826553345
6,7,76.27000000000001,58.955265522003174
7,8,73.81,55.644794791936874
8,9,70.77,52.86371272802353
9,10,78.33,51.134599804878235
10,11,77.21000000000001,48.27772077918053
11,12,69.98,46.93440908193588
12,13,78.96,44.718822449445724
13,14,77.24,43.444800049066544
14,15,86.11999999999999,34.36566862463951
15,16,86.00999999999999,31.077393859624863
16,17,86.55000000000001,29.77082811295986
17,18,86.39,28.843671083450317
18,19,86.25,28.399662762880325
19,20,86.57000000000001,27.474693775177002
20,21,86.37,27.14557883143425
21,22,86.75,26.454504743218422
22,23,86.77,26.25719965994358
23,24,87.21,24.673363775014877
24,25,87.06,24.458038926124573
25,26,87.21,24.397282272577286
26,27,87.27000000000001,24.405282229185104
27,28,87.21,24.124222368001938
28,29,87.22,24.174257338047028
29,30,87.2,23.831072226166725
