,epoch,0.25,0.5,0.75,1.0
0,1,10.040000000000001,26.290000000000003,27.439999999999998,26.419999999999998
1,2,25.05,37.49,23.71,30.78
2,3,27.0,36.05,34.089999999999996,40.54
3,4,29.020000000000003,42.74,44.519999999999996,44.61
4,5,48.33,42.449999999999996,48.6,39.01
5,6,27.6,42.71,50.24999999999999,53.44
6,7,51.54,62.86000000000001,59.21999999999999,66.61
7,8,41.199999999999996,41.760000000000005,55.17999999999999,54.36
8,9,41.3,38.58,50.32,50.160000000000004
9,10,50.67,39.76,41.120000000000005,40.21
10,11,50.1,47.61,52.53,50.019999999999996
11,12,47.18,41.46,44.529999999999994,51.65
12,13,48.92,62.370000000000005,58.940000000000005,53.54
13,14,45.14,48.93,56.61000000000001,57.28
14,15,42.92,41.620000000000005,44.74,51.43
15,16,43.15,52.7,59.050000000000004,49.68
16,17,36.84,44.66,49.4,43.309999999999995
17,18,45.03,65.14999999999999,57.96,65.57
18,19,60.760000000000005,50.14999999999999,60.040000000000006,59.08
19,20,58.589999999999996,40.5,59.41,53.410000000000004
20,21,48.120000000000005,55.14,55.06999999999999,62.13999999999999
21,22,55.45,53.55,62.32,60.14000000000001
22,23,59.48,57.28,54.24,58.45
23,24,41.05,46.81,50.96000000000001,40.39
24,25,59.31999999999999,54.37,57.25,61.809999999999995
25,26,52.42,67.47,69.56,65.57
26,27,48.949999999999996,42.17,51.92,51.019999999999996
27,28,58.830000000000005,57.96,53.47,45.440000000000005
28,29,63.9,72.96000000000001,71.39999999999999,68.04
29,30,62.23,65.46,59.050000000000004,62.99
30,31,54.54,48.05,53.03,63.41
31,32,53.66,62.72,64.39,68.97999999999999
32,33,44.26,48.309999999999995,54.120000000000005,55.08
33,34,42.67,55.43,51.15,51.54
34,35,54.49,61.08,71.08,62.870000000000005
35,36,48.24,58.29,61.1,63.41
36,37,62.38,56.13,58.47,57.19
37,38,61.629999999999995,65.9,67.33,63.83
38,39,56.730000000000004,49.4,49.730000000000004,65.10000000000001
39,40,53.25,57.66,64.05999999999999,64.08
40,41,46.89,44.64,51.28,56.13
41,42,62.33,59.69,61.31999999999999,65.96
42,43,51.959999999999994,53.800000000000004,59.01,60.01
43,44,58.64,56.79,61.28,63.129999999999995
44,45,68.96,61.6,65.11,63.31
45,46,63.54,54.98,60.28,66.5
46,47,64.61,67.02,67.77,66.66
47,48,62.949999999999996,63.91,63.690000000000005,64.18
48,49,64.18,74.2,72.69,73.28
49,50,53.42,68.82000000000001,65.06,67.34
50,51,65.44,63.6,68.24,69.33
51,52,62.21,69.97,70.24000000000001,71.49
52,53,64.92,71.89,72.21,71.09
53,54,63.91,72.04,73.55000000000001,73.99
54,55,63.93,65.73,68.44,68.13
55,56,59.57,69.94,71.47,69.49
56,57,65.59,76.24,77.06,76.44
57,58,66.59,74.92999999999999,77.25,68.81
58,59,65.81,64.98,65.64,68.72
59,60,52.86,58.589999999999996,61.45,64.11
60,61,68.21000000000001,75.79,76.23,77.0
61,62,57.25,67.51,68.41000000000001,71.41999999999999
62,63,65.48,70.25,70.09,72.15
63,64,61.75000000000001,66.03999999999999,66.36999999999999,67.06
64,65,74.49,72.0,74.81,76.4
65,66,69.8,77.5,75.99000000000001,76.37
66,67,70.86,77.03999999999999,77.03999999999999,76.62
67,68,67.65,74.15,71.17999999999999,73.00999999999999
68,69,74.74,53.93,67.17,67.75
69,70,75.9,74.47,77.68,78.23
70,71,75.22999999999999,77.89,79.75,80.46
71,72,69.42,78.71000000000001,82.01,82.53
72,73,73.97,79.17999999999999,79.16,79.74
73,74,72.36,82.01,83.23,80.89
74,75,75.06,83.35000000000001,83.6,83.1
75,76,73.2,80.41,82.49,83.33
76,77,74.13,77.14,81.5,79.67999999999999
77,78,77.4,82.01,83.15,81.10000000000001
78,79,75.01,83.22,83.56,84.52
79,80,72.58,80.39,83.49,82.3
80,81,76.38000000000001,83.73,85.18,84.59
81,82,79.88,85.22,85.27,85.50999999999999
82,83,79.85,83.06,84.53,83.88
83,84,78.88,84.88,83.87,81.95
84,85,78.94,84.52,85.28999999999999,84.49
85,86,81.02000000000001,85.55,86.82,87.05000000000001
86,87,81.57,86.61999999999999,87.68,87.12
87,88,82.65,86.83,87.41,88.05
88,89,83.34,86.95,87.36,87.72
89,90,83.81,87.8,88.75999999999999,88.1
90,91,83.0,87.29,87.62,87.74
91,92,84.25,88.51,89.08,88.8
92,93,84.28,88.32,88.92999999999999,89.55
93,94,85.47,89.19,89.87,89.81
94,95,85.54,89.25999999999999,90.27,90.22
95,96,85.27,89.24,90.2,90.18
96,97,85.56,89.46,90.25,90.39
97,98,85.72,89.56,90.25999999999999,90.41
98,99,85.87,89.69,90.41,90.47
99,100,85.78,89.60000000000001,90.39,90.48
